{556.7185623175235, 0.25, 0.8}	{554.3359106909799, 0.25, 0.81}	{552.4396356427437, 0.25, 0.8200000000000001}	{551.0594111018238, 0.25, 0.8300000000000001}	{550.226540055013, 0.25, 0.8400000000000001}	{549.9740648950188, 0.25, 0.8500000000000001}	{550.3368873066685, 0.25, 0.8600000000000001}	{551.3518987123882, 0.25, 0.87}	{553.0581224301352, 0.25, 0.88}	{555.4968688489306, 0.25, 0.89}
{552.6866113606359, 0.26, 0.8}	{551.1339178008592, 0.26, 0.81}	{550.1415823581201, 0.26, 0.8200000000000001}	{549.7439209658253, 0.26, 0.8300000000000001}	{549.9772034435157, 0.26, 0.8400000000000001}	{550.8797921091227, 0.26, 0.8500000000000001}	{552.4922929700084, 0.26, 0.8600000000000001}	{554.8577209089776, 0.26, 0.87}	{558.021680474088, 0.26, 0.88}	{562.0325641046488, 0.26, 0.89}
{550.1941347992665, 0.27, 0.8}	{549.5805854286592, 0.27, 0.81}	{549.6092285415456, 0.27, 0.8200000000000001}	{550.3196532175256, 0.27, 0.8300000000000001}	{551.7537873257107, 0.27, 0.8400000000000001}	{553.9560712495324, 0.27, 0.8500000000000001}	{556.9736481583768, 0.27, 0.8600000000000001}	{560.856572784464, 0.27, 0.87}	{565.6580409437885, 0.27, 0.88}	{571.4346423676927, 0.27, 0.89}
{549.29956986789, 0.28, 0.8}	{549.7407435727534, 0.28, 0.81}	{550.9145045841299, 0.28, 0.8200000000000001}	{552.8664298007276, 0.28, 0.8300000000000001}	{555.6448908553984, 0.28, 0.8400000000000001}	{559.3012714368324, 0.28, 0.8500000000000001}	{563.890206332327, 0.28, 0.8600000000000001}	{569.4698448935834, 0.28, 0.87}	{576.1021420346425, 0.28, 0.88}	{583.8531803506861, 0.28, 0.89}
{550.0644638110259, 0.29, 0.8}	{551.6828083130604, 0.29, 0.81}	{554.1334768609217, 0.29, 0.8200000000000001}	{557.4688443540995, 0.29, 0.8300000000000001}	{561.7446204691129, 0.29, 0.8400000000000001}	{567.0201210988836, 0.29, 0.8500000000000001}	{573.358568257353, 0.29, 0.8600000000000001}	{580.8274221704105, 0.29, 0.87}	{589.4987498642417, 0.29, 0.88}	{599.4496352628954, 0.29, 0.89}
{552.5536974611699, 0.3, 0.8}	{555.4790502799949, 0.3, 0.81}	{559.3466702323212, 0.3, 0.8200000000000001}	{564.2166498159695, 0.3, 0.8300000000000001}	{570.1530560255013, 0.3, 0.8400000000000001}	{577.2242689701473, 0.3, 0.8500000000000001}	{585.5033577467682, 0.3, 0.8600000000000001}	{595.0684986854986, 0.3, 0.87}	{606.0034419395396, 0.3, 0.88}	{618.3980334133286, 0.3, 0.89}
{556.8357294078977, 0.31, 0.8}	{561.2058889101833, 0.31, 0.81}	{566.639422858568, 0.31, 0.8200000000000001}	{573.2051865508448, 0.31, 0.8300000000000001}	{580.976767806126, 0.31, 0.8400000000000001}	{590.0329089978252, 0.31, 0.8500000000000001}	{600.4579778004274, 0.31, 0.8600000000000001}	{612.3424936821357, 0.31, 0.87}	{625.7837184097323, 0.31, 0.88}	{640.8863203242647, 0.31, 0.89}
{562.9828630937318, 0.32, 0.8}	{568.9442155433426, 0.32, 0.81}	{576.1022773252103, 0.32, 0.8200000000000001}	{584.5358562360074, 0.32, 0.8300000000000001}	{594.3293912500675, 0.32, 0.8400000000000001}	{605.5734781838529, 0.32, 0.8500000000000001}	{618.3654590211514, 0.32, 0.8600000000000001}	{632.8100845567686, 0.32, 0.87}	{649.0202618005376, 0.32, 0.88}	{667.1178997605422, 0.32, 0.89}
{571.0715394894316, 0.33, 0.8}	{578.7797488481825, 0.33, 0.81}	{587.8314126709251, 0.33, 0.8200000000000001}	{598.3166475602367, 0.33, 0.8300000000000001}	{610.332267411861, 0.33, 0.8400000000000001}	{623.9824379286508, 0.33, 0.8500000000000001}	{639.379414309606, 0.33, 0.8600000000000001}	{656.6443753769613, 0.33, 0.87}	{675.9083699834305, 0.33, 0.88}	{697.3133947195771, 0.33, 0.89}
{581.1826583687875, 0.34, 0.8}	{590.8034265709441, 0.34, 0.81}	{601.9291226059752, 0.34, 0.8200000000000001}	{614.6627207487604, 0.34, 0.8300000000000001}	{629.1151584633785, 0.34, 0.8400000000000001}	{645.4061512880268, 0.34, 0.8500000000000001}	{663.6651164036286, 0.34, 0.8600000000000001}	{684.0322231062165, 0.34, 0.87}	{706.6595921340518, 0.34, 0.88}	{731.7126704446347, 0.34, 0.89}
