{731.1875805708725, 0.15, 0.7}	{725.0136421946604, 0.15, 0.71}	{718.8570837532715, 0.15, 0.72}	{712.7216438381425, 0.15, 0.73}	{706.6112080014352, 0.15, 0.74}	{700.5298143215774, 0.15, 0.75}	{694.4816592265676, 0.15, 0.76}	{688.4711035894662, 0.15, 0.7699999999999999}	{682.5026791115872, 0.15, 0.7799999999999999}	{676.5810950098004, 0.15, 0.7899999999999999}
{715.3482403473572, 0.16, 0.7}	{709.0115590152392, 0.16, 0.71}	{702.7055131839318, 0.16, 0.72}	{696.4346203860713, 0.16, 0.73}	{690.2035790115359, 0.16, 0.74}	{684.0172754911392, 0.16, 0.75}	{677.880791830667, 0.16, 0.76}	{671.7994135159225, 0.16, 0.7699999999999999}	{665.7786378110795, 0.16, 0.7799999999999999}	{659.8241824740843, 0.16, 0.7899999999999999}
{700.1107533533357, 0.16999999999999998, 0.7}	{693.6492174305366, 0.16999999999999998, 0.71}	{687.2336418374468, 0.16999999999999998, 0.72}	{680.8694310208402, 0.16999999999999998, 0.73}	{674.5622102224822, 0.16999999999999998, 0.74}	{668.3178346641396, 0.16999999999999998, 0.75}	{662.1423992033633, 0.16999999999999998, 0.76}	{656.0422484893992, 0.16999999999999998, 0.7699999999999999}	{650.0239876507849, 0.16999999999999998, 0.7799999999999999}	{644.0944935484569, 0.16999999999999998, 0.7899999999999999}
{685.489838375772, 0.18, 0.7}	{678.9427756735582, 0.18, 0.71}	{672.4591946896406, 0.18, 0.72}	{666.0455053485532, 0.18, 0.73}	{659.7083852267328, 0.18, 0.74}	{653.4547911985383, 0.18, 0.75}	{647.291971708666, 0.18, 0.76}	{641.227479712042, 0.18, 0.7699999999999999}	{635.2691863254221, 0.18, 0.7799999999999999}	{629.4252952383654, 0.18, 0.7899999999999999}
{671.500693492532, 0.19, 0.7}	{664.9089365469518, 0.19, 0.71}	{658.400514814707, 0.19, 0.72}	{651.9829738410427, 0.19, 0.73}	{645.6641815929298, 0.19, 0.74}	{639.4523431160846, 0.19, 0.75}	{633.3560160181593, 0.19, 0.76}	{627.3841268349227, 0.19, 0.7699999999999999}	{621.5459883408287, 0.19, 0.7799999999999999}	{615.8513178705001, 0.19, 0.7899999999999999}
{658.1590166610728, 0.19999999999999998, 0.7}	{651.5649716643903, 0.19999999999999998, 0.71}	{645.0765918903755, 0.19999999999999998, 0.72}	{638.7027013136175, 0.19999999999999998, 0.73}	{632.4525101380034, 0.19999999999999998, 0.74}	{626.3356331211219, 0.19999999999999998, 0.75}	{620.362108979788, 0.19999999999999998, 0.76}	{614.5424209545196, 0.19999999999999998, 0.7699999999999999}	{608.8875186174851, 0.19999999999999998, 0.7799999999999999}	{603.408841015871, 0.19999999999999998, 0.7899999999999999}
{645.4810274220004, 0.21, 0.7}	{638.9287470535784, 0.21, 0.71}	{632.5070923633837, 0.21, 0.72}	{626.2263224243727, 0.21, 0.73}	{620.0971566573253, 0.21, 0.74}	{614.1307976043425, 0.21, 0.75}	{608.3389551070422, 0.21, 0.76}	{602.7338719953318, 0.21, 0.7699999999999999}	{597.3283514021963, 0.21, 0.7799999999999999}	{592.1357858304505, 0.21, 0.7899999999999999}
{633.4834897909199, 0.22, 0.7}	{627.0187502138119, 0.22, 0.71}	{620.7123913929125, 0.22, 0.72}	{614.5762793437598, 0.22, 0.73}	{608.6228263005663, 0.22, 0.74}	{602.8650188678743, 0.22, 0.75}	{597.3164479858177, 0.22, 0.76}	{591.9913408519951, 0.22, 0.7699999999999999}	{586.9045949563357, 0.22, 0.7799999999999999}	{582.0718144004113, 0.22, 0.7899999999999999}
{622.1837364176357, 0.22999999999999998, 0.7}	{615.8541187287007, 0.22999999999999998, 0.71}	{609.7136066996574, 0.22999999999999998, 0.72}	{603.7758617562083, 0.22999999999999998, 0.73}	{598.0551907978478, 0.22999999999999998, 0.74}	{592.5665808301225, 0.22999999999999998, 0.75}	{587.3257359251379, 0.22999999999999998, 0.76}	{582.3491167020608, 0.22999999999999998, 0.7699999999999999}	{577.6539825383013, 0.22999999999999998, 0.7799999999999999}	{573.2584367431026, 0.22999999999999998, 0.7899999999999999}
{611.5996940980414, 0.24, 0.7}	{605.4546705428329, 0.24, 0.71}	{599.5326344589803, 0.24, 0.72}	{593.8492493696908, 0.24, 0.73}	{588.4209387595436, 0.24, 0.74}	{583.2649284936338, 0.24, 0.75}	{578.3992922102714, 0.24, 0.76}	{573.8429999428794, 0.24, 0.7699999999999999}	{569.615970253138, 0.24, 0.7799999999999999}	{565.7391261869025, 0.24, 0.7899999999999999}
