{1032.254689217381, 0., 0.6000000000000001}	{1032.254689217381, 0., 0.6100000000000001}	{1032.254689217381, 0., 0.6200000000000001}	{1032.254689217381, 0., 0.6300000000000001}	{1032.254689217381, 0., 0.6400000000000001}	{1032.254689217381, 0., 0.6500000000000001}	{1032.254689217381, 0., 0.6600000000000001}	{1032.254689217381, 0., 0.67}	{1032.254689217381, 0., 0.68}	{1032.254689217381, 0., 0.6900000000000001}	{1032.254689217381, 0., 0.7000000000000001}	{1032.254689217381, 0., 0.7100000000000001}	{1032.254689217381, 0., 0.7200000000000001}	{1032.254689217381, 0., 0.7300000000000001}	{1032.254689217381, 0., 0.7400000000000001}	{1032.254689217381, 0., 0.7500000000000001}	{1032.254689217381, 0., 0.7600000000000001}	{1032.254689217381, 0., 0.7700000000000001}	{1032.254689217381, 0., 0.7800000000000001}	{1032.254689217381, 0., 0.7900000000000001}
{1014.4565331097356, 0.01, 0.6000000000000001}	{1013.9280324982522, 0.01, 0.6100000000000001}	{1013.3931450588791, 0.01, 0.6200000000000001}	{1012.85183810326, 0.01, 0.6300000000000001}	{1012.3040791229408, 0.01, 0.6400000000000001}	{1011.7498357918896, 0.01, 0.6500000000000001}	{1011.1890759690385, 0.01, 0.6600000000000001}	{1010.6217677008372, 0.01, 0.67}	{1010.0478792238622, 0.01, 0.68}	{1009.467378967412, 0.01, 0.6900000000000001}	{1008.8802355561712, 0.01, 0.7000000000000001}	{1008.2864178128676, 0.01, 0.7100000000000001}	{1007.6858947609667, 0.01, 0.7200000000000001}	{1007.0786356273871, 0.01, 0.7300000000000001}	{1006.4646098452699, 0.01, 0.7400000000000001}	{1005.8437870567333, 0.01, 0.7500000000000001}	{1005.216137115684, 0.01, 0.7600000000000001}	{1004.5816300906536, 0.01, 0.7700000000000001}	{1003.9402362676449, 0.01, 0.7800000000000001}	{1003.2919261530357, 0.01, 0.7900000000000001}
{996.9053855025674, 0.02, 0.6000000000000001}	{995.8632934076752, 0.02, 0.6100000000000001}	{994.8090688283143, 0.02, 0.6200000000000001}	{993.7426653693418, 0.02, 0.6300000000000001}	{992.6640374088505, 0.02, 0.6400000000000001}	{991.5731401102175, 0.02, 0.6500000000000001}	{990.4699294342801, 0.02, 0.6600000000000001}	{989.354362151683, 0.02, 0.67}	{988.2263958553852, 0.02, 0.68}	{987.0859889733285, 0.02, 0.6900000000000001}	{985.9331007812905, 0.02, 0.7000000000000001}	{984.767691415879, 0.02, 0.7100000000000001}	{983.589721887734, 0.02, 0.7200000000000001}	{982.3991540948739, 0.02, 0.7300000000000001}	{981.1959508362359, 0.02, 0.7400000000000001}	{979.9800758254041, 0.02, 0.7500000000000001}	{978.7514937045039, 0.02, 0.7600000000000001}	{977.5101700583009, 0.02, 0.7700000000000001}	{976.256071428486, 0.02, 0.7800000000000001}	{974.9891653281347, 0.02, 0.7900000000000001}
{979.6052415144661, 0.03, 0.6000000000000001}	{978.0648511948082, 0.03, 0.6100000000000001}	{976.5072537071869, 0.03, 0.6200000000000001}	{974.932409753036, 0.03, 0.6300000000000001}	{973.3402819012236, 0.03, 0.6400000000000001}	{971.7308346199907, 0.03, 0.6500000000000001}	{970.1040343094076, 0.03, 0.6600000000000001}	{968.4598493343493, 0.03, 0.67}	{966.798250057986, 0.03, 0.68}	{965.1192088758489, 0.03, 0.6900000000000001}	{963.4227002504188, 0.03, 0.7000000000000001}	{961.7087007462785, 0.03, 0.7100000000000001}	{959.9771890658591, 0.03, 0.7200000000000001}	{958.2281460857595, 0.03, 0.7300000000000001}	{956.4615548936644, 0.03, 0.7400000000000001}	{954.6774008258731, 0.03, 0.7500000000000001}	{952.8756715054411, 0.03, 0.7600000000000001}	{951.0563568809839, 0.03, 0.7700000000000001}	{949.2194492660896, 0.03, 0.7800000000000001}	{947.3649433794354, 0.03, 0.7900000000000001}
{962.5601786359048, 0.04, 0.6000000000000001}	{960.5371785505296, 0.04, 0.6100000000000001}	{958.4925986602593, 0.04, 0.6200000000000001}	{956.4264295115232, 0.04, 0.6300000000000001}	{954.338665210598, 0.04, 0.6400000000000001}	{952.2293034899643, 0.04, 0.6500000000000001}	{950.0983457758682, 0.04, 0.6600000000000001}	{947.9457972571745, 0.04, 0.67}	{945.7716669555111, 0.04, 0.68}	{943.5759677967204, 0.04, 0.6900000000000001}	{941.3587166836847, 0.04, 0.7000000000000001}	{939.1199345705322, 0.04, 0.7100000000000001}	{936.8596465382534, 0.04, 0.7200000000000001}	{934.5778818717691, 0.04, 0.7300000000000001}	{932.2746741385051, 0.04, 0.7400000000000001}	{929.950061268466, 0.04, 0.7500000000000001}	{927.6040856358716, 0.04, 0.7600000000000001}	{925.2367941423809, 0.04, 0.7700000000000001}	{922.8482383019766, 0.04, 0.7800000000000001}	{920.4384743274857, 0.04, 0.7900000000000001}
{945.7743589293241, 0.05, 0.6000000000000001}	{943.2848441924073, 0.05, 0.6100000000000001}	{940.7701114648906, 0.05, 0.6200000000000001}	{938.2302059629487, 0.05, 0.6300000000000001}	{935.6651788615752, 0.05, 0.6400000000000001}	{933.0750874147064, 0.05, 0.6500000000000001}	{930.459995077813, 0.05, 0.6600000000000001}	{927.8199716331635, 0.05, 0.67}	{925.1550933177198, 0.05, 0.68}	{922.4654429537692, 0.05, 0.6900000000000001}	{919.7511100823896, 0.05, 0.7000000000000001}	{917.0121910997781, 0.05, 0.7100000000000001}	{914.2487893965595, 0.05, 0.7200000000000001}	{911.4610155001179, 0.05, 0.7300000000000001}	{908.6489872200655, 0.05, 0.7400000000000001}	{905.8128297968906, 0.05, 0.7500000000000001}	{902.9526760539308, 0.05, 0.7600000000000001}	{900.0686665527049, 0.05, 0.7700000000000001}	{897.1609497517103, 0.05, 0.7800000000000001}	{894.229682168798, 0.05, 0.7900000000000001}
{929.2520313024278, 0.06, 0.6000000000000001}	{926.3125155388134, 0.06, 0.6100000000000001}	{923.3449118485861, 0.06, 0.6200000000000001}	{920.3493471586438, 0.06, 0.6300000000000001}	{917.3259575805564, 0.06, 0.6400000000000001}	{914.2748886095187, 0.06, 0.6500000000000001}	{911.1962953279585, 0.06, 0.6600000000000001}	{908.0903426139585, 0.06, 0.67}	{904.9572053546217, 0.06, 0.68}	{901.7970686645156, 0.06, 0.6900000000000001}	{898.6101281093532, 0.06, 0.7000000000000001}	{895.3965899350464, 0.06, 0.7100000000000001}	{892.1566713023357, 0.06, 0.7200000000000001}	{888.8906005270749, 0.06, 0.7300000000000001}	{885.5986173264394, 0.06, 0.7400000000000001}	{882.2809730711581, 0.06, 0.7500000000000001}	{878.937931043987, 0.06, 0.7600000000000001}	{875.5697667045854, 0.06, 0.7700000000000001}	{872.1767679610311, 0.06, 0.7800000000000001}	{868.7592354481201, 0.06, 0.7900000000000001}
{912.9975338576689, 0.07, 0.6000000000000001}	{909.624961475924, 0.07, 0.6100000000000001}	{906.2222347394389, 0.07, 0.6200000000000001}	{902.7895916921617, 0.07, 0.6300000000000001}	{899.3272837488402, 0.07, 0.6400000000000001}	{895.8355760046899, 0.07, 0.6500000000000001}	{892.314747553007, 0.07, 0.6600000000000001}	{888.7650918110326, 0.07, 0.67}	{885.1869168542477, 0.07, 0.68}	{881.5805457594697, 0.07, 0.6900000000000001}	{877.9463169569151, 0.07, 0.7000000000000001}	{874.2845845915966, 0.07, 0.7100000000000001}	{870.5957188943412, 0.07, 0.7200000000000001}	{866.8801065626974, 0.07, 0.7300000000000001}	{863.138151152108, 0.07, 0.7400000000000001}	{859.3702734776476, 0.07, 0.7500000000000001}	{855.5769120266754, 0.07, 0.7600000000000001}	{851.7585233827866, 0.07, 0.7700000000000001}	{847.9155826614042, 0.07, 0.7800000000000001}	{844.0485839574127, 0.07, 0.7900000000000001}
{897.0152963209393, 0.08, 0.6000000000000001}	{893.2270552214791, 0.08, 0.6100000000000001}	{889.4074336344032, 0.08, 0.6200000000000001}	{885.5568126513249, 0.08, 0.6300000000000001}	{881.6755920288412, 0.08, 0.6400000000000001}	{877.7641906486609, 0.08, 0.6500000000000001}	{873.8230469906215, 0.08, 0.6600000000000001}	{869.8526196189443, 0.08, 0.67}	{865.8533876822595, 0.08, 0.68}	{861.8258514278095, 0.08, 0.6900000000000001}	{857.7705327303656, 0.08, 0.7000000000000001}	{853.6879756363269, 0.08, 0.7100000000000001}	{849.5787469235752, 0.08, 0.7200000000000001}	{845.4434366775888, 0.08, 0.7300000000000001}	{841.2826588844271, 0.08, 0.7400000000000001}	{837.0970520411811, 0.08, 0.7500000000000001}	{832.8872797844563, 0.08, 0.7600000000000001}	{828.6540315376416, 0.08, 0.7700000000000001}	{824.398023177519, 0.08, 0.7800000000000001}	{820.1199977210274, 0.08, 0.7900000000000001}
{881.3098425527357, 0.09, 0.6000000000000001}	{877.123777289391, 0.09, 0.6100000000000001}	{872.9059840905109, 0.09, 0.6200000000000001}	{868.657021719765, 0.09, 0.6300000000000001}	{864.3774741714924, 0.09, 0.6400000000000001}	{860.0679513303027, 0.09, 0.6500000000000001}	{855.7290896505567, 0.09, 0.6600000000000001}	{851.3615528563439, 0.09, 0.67}	{846.9660326627809, 0.09, 0.68}	{842.5432495193974, 0.09, 0.6900000000000001}	{838.0939533764003, 0.09, 0.7000000000000001}	{833.6189244747126, 0.09, 0.7100000000000001}	{829.1189741606396, 0.09, 0.7200000000000001}	{824.5949457261349, 0.09, 0.7300000000000001}	{820.0477152755846, 0.09, 0.7400000000000001}	{815.4781926201834, 0.09, 0.7500000000000001}	{810.8873222009025, 0.09, 0.7600000000000001}	{806.276084041215, 0.09, 0.7700000000000001}	{801.6454947306902, 0.09, 0.7800000000000001}	{796.9966084407065, 0.09, 0.7900000000000001}
