{793.1554498919198, 0.15, 0.6}	{786.9845297325588, 0.15, 0.61}	{780.8006214005622, 0.15, 0.62}	{774.6062520207039, 0.15, 0.63}	{768.4040515789052, 0.15, 0.64}	{762.1967565376747, 0.15, 0.65}	{755.987213604745, 0.15, 0.66}	{749.7783836627829, 0.15, 0.6699999999999999}	{743.573345868459, 0.15, 0.6799999999999999}	{737.3753019297571, 0.15, 0.69}
{779.5226265930928, 0.16, 0.6}	{773.0927906138753, 0.16, 0.61}	{766.6569966260503, 0.16, 0.62}	{760.2182840364032, 0.16, 0.63}	{753.7798168224163, 0.16, 0.64}	{747.3448881009961, 0.16, 0.65}	{740.9169249001338, 0.16, 0.66}	{734.4994931443679, 0.16, 0.6699999999999999}	{728.096302865671, 0.16, 0.6799999999999999}	{721.7112136521022, 0.16, 0.69}
{766.2064981719664, 0.16999999999999998, 0.6}	{759.5397792214362, 0.16999999999999998, 0.61}	{752.8753861170748, 0.16999999999999998, 0.62}	{746.2169343573113, 0.16999999999999998, 0.63}	{739.5681890747674, 0.16999999999999998, 0.64}	{732.933070754448, 0.16999999999999998, 0.65}	{726.315661217644, 0.16999999999999998, 0.66}	{719.7202098864004, 0.16999999999999998, 0.6699999999999999}	{713.1511403445891, 0.16999999999999998, 0.6799999999999999}	{706.6130572125221, 0.16999999999999998, 0.69}
{753.2125641155018, 0.18, 0.6}	{746.3315940824227, 0.18, 0.61}	{739.4625442841084, 0.18, 0.62}	{732.6096749551073, 0.18, 0.63}	{725.7774247723291, 0.18, 0.64}	{718.970417951041, 0.18, 0.65}	{712.1934716851471, 0.18, 0.66}	{705.4516039519938, 0.18, 0.6699999999999999}	{698.7500417033967, 0.18, 0.6799999999999999}	{692.0942294659806, 0.18, 0.69}
{740.5464485223259, 0.19, 0.6}	{733.4744772712429, 0.19, 0.61}	{726.4253906175129, 0.19, 0.62}	{719.4041673372327, 0.19, 0.63}	{712.4159976309484, 0.19, 0.64}	{705.4662918623444, 0.19, 0.65}	{698.5606897389962, 0.19, 0.66}	{691.7050699623933, 0.19, 0.6699999999999999}	{684.9055603762782, 0.19, 0.6799999999999999}	{678.1685486445867, 0.19, 0.69}
{728.2139037842177, 0.19999999999999998, 0.6}	{720.9748188198765, 0.19999999999999998, 0.61}	{713.7710149597768, 0.19999999999999998, 0.62}	{706.6082688366427, 0.19999999999999998, 0.63}	{699.4926061350279, 0.19999999999999998, 0.64}	{692.4303122791363, 0.19999999999999998, 0.65}	{685.4279436836878, 0.19999999999999998, 0.66}	{678.492339603851, 0.19999999999999998, 0.6699999999999999}	{671.6306346230024, 0.19999999999999998, 0.6799999999999999}	{664.8502718200189, 0.19999999999999998, 0.69}
{716.2208144035806, 0.21, 0.6}	{708.8391612977467, 0.21, 0.61}	{701.5066829885686, 0.21, 0.62}	{694.2300391630805, 0.21, 0.63}	{687.0161813502921, 0.21, 0.64}	{679.8723659117816, 0.21, 0.65}	{672.8061677441142, 0.21, 0.66}	{665.8254947404234, 0.21, 0.6699999999999999}	{658.9386030623334, 0.21, 0.6799999999999999}	{652.1541132774344, 0.21, 0.69}
{704.5732009529197, 0.22, 0.6}	{697.0742045689915, 0.22, 0.61}	{689.6398419207786, 0.22, 0.62}	{682.2777472290156, 0.22, 0.63}	{674.9958950771817, 0.22, 0.64}	{667.8026161120997, 0.22, 0.65}	{660.7066136383406, 0.22, 0.66}	{653.7169811682472, 0.22, 0.6699999999999999}	{646.8432209946068, 0.22, 0.6799999999999999}	{640.0952638584882, 0.22, 0.69}
{693.2772241826981, 0.22999999999999998, 0.6}	{685.6868107353407, 0.22999999999999998, 0.61}	{678.1781264483011, 0.22999999999999998, 0.62}	{670.759878264171, 0.22999999999999998, 0.63}	{663.4411683628172, 0.22999999999999998, 0.64}	{656.2315130398651, 0.22999999999999998, 0.65}	{649.140862700586, 0.22999999999999998, 0.66}	{642.1796230494144, 0.22999999999999998, 0.6699999999999999}	{635.3586775621908, 0.22999999999999998, 0.6799999999999999}	{628.6894113357134, 0.22999999999999998, 0.69}
{682.3391892842916, 0.24, 0.6}	{674.6840092734745, 0.24, 0.61}	{667.1293649169651, 0.24, 0.62}	{659.6851412334272, 0.24, 0.63}	{652.3616803906713, 0.24, 0.64}	{645.1698042985566, 0.24, 0.65}	{638.1208385861066, 0.24, 0.66}	{631.2266380661529, 0.24, 0.6699999999999999}	{624.4996138000282, 0.24, 0.6799999999999999}	{617.9527618849716, 0.24, 0.69}
