{593.4019316302989, 0.35, 0.8}	{605.1118381919554, 0.35, 0.81}	{618.5043460308968, 0.35, 0.8200000000000001}	{633.6970590708898, 0.35, 0.8300000000000001}	{650.8170491525818, 0.35, 0.8400000000000001}	{670.0018707805006, 0.35, 0.8500000000000001}	{691.4007179489137, 0.35, 0.8600000000000001}	{715.1757480952909, 0.35, 0.87}	{741.5036036329338, 0.35, 0.88}	{770.5771683124752, 0.35, 0.89}
{607.8202726110757, 0.36, 0.8}	{621.8077037702753, 0.36, 0.81}	{637.6732569362306, 0.36, 0.8200000000000001}	{655.5511968478598, 0.36, 0.8300000000000001}	{675.5870470452454, 0.36, 0.8400000000000001}	{697.9388540797373, 0.36, 0.8500000000000001}	{722.7786376042817, 0.36, 0.8600000000000001}	{750.2940608203743, 0.36, 0.87}	{780.6903635942633, 0.36, 0.88}	{814.192610528864, 0.36, 0.89}
{624.5342259208168, 0.37, 0.8}	{641.0004050749603, 0.37, 0.81}	{659.559921917017, 0.37, 0.8200000000000001}	{680.366035107401, 0.37, 0.8300000000000001}	{703.5853966846971, 0.37, 0.8400000000000001}	{729.3996282117378, 0.37, 0.8500000000000001}	{758.0071403774268, 0.37, 0.8600000000000001}	{789.6252435814421, 0.37, 0.87}	{824.4926084175783, 0.37, 0.88}	{862.8721496434825, 0.37, 0.89}
{643.6464430071338, 0.38, 0.8}	{662.806576068957, 0.38, 0.81}	{684.2970349096883, 0.38, 0.8200000000000001}	{708.2927579891668, 0.38, 0.8300000000000001}	{734.9846256045698, 0.38, 0.8400000000000001}	{764.581426897497, 0.38, 0.8500000000000001}	{797.3121461894038, 0.38, 0.8600000000000001}	{833.4286342917305, 0.38, 0.87}	{873.2087470354674, 0.38, 0.88}	{916.9600549165644, 0.38, 0.89}
{665.2662094681273, 0.38999999999999996, 0.8}	{687.3507609597932, 0.38999999999999996, 0.81}	{712.026740403041, 0.38999999999999996, 0.8200000000000001}	{739.4938653679677, 0.38999999999999996, 0.8300000000000001}	{769.9708435410465, 0.38999999999999996, 0.8400000000000001}	{803.6978306329739, 0.38999999999999996, 0.8500000000000001}	{840.9393078871225, 0.38999999999999996, 0.8600000000000001}	{881.9874700800694, 0.38999999999999996, 0.87}	{927.1662391702939, 0.38999999999999996, 0.88}	{976.8360508331184, 0.38999999999999996, 0.89}
{689.5100310786772, 0.39999999999999997, 0.8}	{714.7661493989136, 0.39999999999999997, 0.81}	{742.9015583498294, 0.39999999999999997, 0.8200000000000001}	{774.1443400293998, 0.39999999999999997, 0.8300000000000001}	{808.7452203725974, 0.39999999999999997, 0.8400000000000001}	{846.9806452251737, 0.39999999999999997, 0.8500000000000001}	{889.1564089617807, 0.39999999999999997, 0.8600000000000001}	{935.6119618547505, 0.39999999999999997, 0.87}	{986.7255580002454, 0.39999999999999997, 0.88}	{1042.92045335744, 0.39999999999999997, 0.89}
{716.5022866242113, 0.41, 0.8}	{745.1954000465142, 0.41, 0.81}	{777.0854263922889, 0.41, 0.8200000000000001}	{812.4329712251795, 0.41, 0.8300000000000001}	{851.5256734616394, 0.41, 0.8400000000000001}	{894.6820621393781, 0.41, 0.8500000000000001}	{942.25614263094, 0.41, 0.8600000000000001}	{994.6428881241898, 0.41, 0.87}	{1052.284864648076, 0.41, 0.88}	{1115.6802893547597, 0.41, 0.89}
{746.3759569770026, 0.42, 0.8}	{778.7915656861286, 0.42, 0.81}	{814.754877904127, 0.42, 0.8200000000000001}	{854.5638607186833, 0.42, 0.8300000000000001}	{898.5488014543215, 0.42, 0.8400000000000001}	{947.0771535831816, 0.42, 0.8500000000000001}	{1000.5593484160862, 0.42, 0.8600000000000001}	{1059.4558184482667, 0.42, 0.87}	{1124.2855559062423, 0.42, 0.88}	{1195.6366375262423, 0.42, 0.89}
{779.2734414556483, 0.43, 0.8}	{815.7191354403883, 0.43, 0.81}	{856.1003778799369, 0.43, 0.8200000000000001}	{900.7581427068809, 0.43, 0.8300000000000001}	{950.0721095475936, 0.43, 0.8400000000000001}	{1004.466767339951, 0.43, 0.8500000000000001}	{1064.418800873186, 0.43, 0.8600000000000001}	{1130.4661055710048, 0.43, 0.87}	{1203.2188914852325, 0.43, 0.88}	{1283.3735002681422, 0.43, 0.89}
{815.3474744303048, 0.44, 0.8}	{856.1552125166244, 0.44, 0.81}	{901.3278430206881, 0.44, 0.8200000000000001}	{951.255955545085, 0.44, 0.8300000000000001}	{1006.3765812133352, 0.44, 0.8400000000000001}	{1067.1809017333887, 0.44, 0.8500000000000001}	{1134.2236690388706, 0.44, 0.8600000000000001}	{1208.1348228782492, 0.44, 0.87}	{1289.6339669269316, 0.44, 0.88}	{1379.5486124967256, 0.44, 0.89}
