{670.7112450256373, 0.15, 0.8}	{664.8982147749284, 0.15, 0.81}	{659.1472894581856, 0.15, 0.8200000000000001}	{653.4639619531936, 0.15, 0.8300000000000001}	{647.853941312924, 0.15, 0.8400000000000001}	{642.3231616934762, 0.15, 0.8500000000000001}	{636.8777917385387, 0.15, 0.8600000000000001}	{631.5242444488795, 0.15, 0.87}	{626.269187567386, 0.15, 0.88}	{621.1195545125587, 0.15, 0.89}
{653.9419949146109, 0.16, 0.8}	{648.1382618219291, 0.16, 0.81}	{642.4194192920479, 0.16, 0.8200000000000001}	{636.7921634856815, 0.16, 0.8300000000000001}	{631.26346185093, 0.16, 0.8400000000000001}	{625.8405649472016, 0.16, 0.8500000000000001}	{620.5310189096704, 0.16, 0.8600000000000001}	{615.342678596616, 0.16, 0.87}	{610.2837214654064, 0.16, 0.88}	{605.3626622264093, 0.16, 0.89}
{638.2609266308801, 0.16999999999999998, 0.8}	{632.5307434304091, 0.16999999999999998, 0.81}	{626.91170974319, 0.16999999999999998, 0.8200000000000001}	{621.4119145382219, 0.16999999999999998, 0.8300000000000001}	{616.0397846448486, 0.16999999999999998, 0.8400000000000001}	{610.804100271817, 0.16999999999999998, 0.8500000000000001}	{605.7140114155542, 0.16999999999999998, 0.8600000000000001}	{600.779055219897, 0.16999999999999998, 0.87}	{596.0091743548032, 0.16999999999999998, 0.88}	{591.4147364873121, 0.16999999999999998, 0.89}
{623.7043579351513, 0.18, 0.8}	{618.1152897833329, 0.18, 0.81}	{612.6673870491265, 0.18, 0.8200000000000001}	{607.3703449049616, 0.18, 0.8300000000000001}	{602.2342764998332, 0.18, 0.8400000000000001}	{597.2697331692585, 0.18, 0.8500000000000001}	{592.4877258681842, 0.18, 0.8600000000000001}	{587.8997479174784, 0.18, 0.87}	{583.5177991627168, 0.18, 0.88}	{579.3544116528005, 0.18, 0.89}
{610.3102567232203, 0.19, 0.8}	{604.9333907287021, 0.19, 0.81}	{599.7317720590784, 0.19, 0.8200000000000001}	{594.7169423795405, 0.19, 0.8300000000000001}	{589.9009574382388, 0.19, 0.8400000000000001}	{585.2964132050505, 0.19, 0.8500000000000001}	{580.9164736788305, 0.19, 0.8600000000000001}	{576.774900493857, 0.19, 0.87}	{572.8860844683493, 0.19, 0.88}	{569.2650792516213, 0.19, 0.89}
{598.1183412506356, 0.19999999999999998, 0.8}	{593.0285125996251, 0.19999999999999998, 0.81}	{588.1524163038674, 0.19999999999999998, 0.8200000000000001}	{583.5037111468131, 0.19999999999999998, 0.8300000000000001}	{579.0966849683844, 0.19999999999999998, 0.8400000000000001}	{574.9462882691664, 0.19999999999999998, 0.8500000000000001}	{571.0681700749348, 0.19999999999999998, 0.8600000000000001}	{567.4787162483955, 0.19999999999999998, 0.87}	{564.195090453487, 0.19999999999999998, 0.88}	{561.2352779982685, 0.19999999999999998, 0.89}
{587.1701881090421, 0.21, 0.8}	{582.4462243895049, 0.21, 0.81}	{577.9792493473658, 0.21, 0.8200000000000001}	{573.7853437693886, 0.21, 0.8300000000000001}	{569.881354725215, 0.21, 0.8400000000000001}	{566.2849385418274, 0.21, 0.8500000000000001}	{563.0146068213006, 0.21, 0.8600000000000001}	{560.0897757671908, 0.21, 0.87}	{557.5308191125304, 0.21, 0.88}	{555.3591249736836, 0.21, 0.89}
{577.509348689194, 0.22, 0.8}	{573.2343342017964, 0.22, 0.81}	{569.2647385684313, 0.22, 0.8200000000000001}	{565.6194082038703, 0.22, 0.8300000000000001}	{562.3181192735342, 0.22, 0.8400000000000001}	{559.3816323974012, 0.22, 0.8500000000000001}	{556.8317514293075, 0.22, 0.8600000000000001}	{554.6913866860825, 0.22, 0.87}	{552.9846230420633, 0.22, 0.88}	{551.7367933513858, 0.22, 0.89}
{569.1814749488159, 0.22999999999999998, 0.8}	{565.4430370015293, 0.22999999999999998, 0.81}	{562.0640626621924, 0.22999999999999998, 0.8200000000000001}	{559.0665514627182, 0.22999999999999998, 0.8300000000000001}	{556.473627098705, 0.22999999999999998, 0.8400000000000001}	{554.3096067827593, 0.22999999999999998, 0.8500000000000001}	{552.60007602982, 0.22999999999999998, 0.8600000000000001}	{551.3719693998839, 0.22999999999999998, 0.87}	{550.6536577846194, 0.22999999999999998, 0.88}	{550.475042893922, 0.22999999999999998, 0.89}
{562.2344553975075, 0.24, 0.8}	{559.1250748184088, 0.24, 0.81}	{556.435300309068, 0.24, 0.8200000000000001}	{554.1907217454374, 0.24, 0.8300000000000001}	{552.4182840800893, 0.24, 0.8400000000000001}	{551.1463749578854, 0.24, 0.8500000000000001}	{550.4049195423272, 0.24, 0.8600000000000001}	{550.2254832865042, 0.24, 0.87}	{550.641383472571, 0.24, 0.88}	{551.6878104467405, 0.24, 0.89}
